"id","name","title","gender","birth_date","death_date","min_offset_to_royal","min_dist_to_royal","x","y"
"I90","Alexander Patrick Gregers","Earl of Ulster","M",1974,,"6","5",63.7855178604409,406.338992498481
"I91","Earl Winfield (Spencer)","Jr.","M",1896,,"6","5",-13.9402719889532,727.635665060903
"I92","Ernest  (Simpson)","","M",1896,,"6","5",-10.7652325037431,734.162255161099
"I93","Frances  (Burke Roche)","Hon.","F",1936,,"6","3",47.2875981955631,558.060330002356
"I94","Marie Alexandrovna","Grand Duchess","F",1853,1920,"5.5","6",42.0053410270135,878.515496475529
"I95","Alfred ","Prince","M",1874,1899,"5.5","6",9.33598610243038,826.341714570976
"I96","Marie of Saxe-Coburg and Gotha","Queen of Romania","F",1875,1938,"6","6",120.947138431826,800.515925271982
"I97","Victoria Melita of Edinburgh","Grand Duchess","F",1876,1936,"5.5","6",56.9262705660628,794.327995967082
"I98","Alexandra ","Princess","F",1878,1942,"5.5","6",-5.95400221813334,812.642598179311
"I99","Beatrice ","Princess","F",1884,1966,"5.5","6",36.2862928176182,791.824890745665
"I100","Louis of Battenberg","Prince","M",1854,1921,"6","3",156.432623541363,867.839572822352
"I101","Alice of Battenberg","Princess","F",1885,1969,"6","2",102.730878033275,764.917269603038
"I102","George  (Mountbatten)","Marquess","M",1892,1938,"6","4",117.501796098696,747.556374035354
"I103","Louis of Burma (Mountbatten)","Earl Mountbatten","M",1900,1979,"6","4",151.595685061653,723.942543824125
"I104","Andrew of Greece","Prince","M",1882,1944,"6","2",72.2751646420332,776.848780875823
"I105","Alexander  (Duff)","Duke of Fife","M",1849,1912,"5.5","5",-104.549781457852,882.105563513786
"I106","Alexandra  (Windsor)","Princess","F",1936,,"6","4",118.447497595809,561.429382556656
"I107","Michael  (Windsor)","Prince","M",1942,,"6","4",51.4712783694826,539.265488238673
"I108","Angus  (Ogilvy)","Hon.","M",1928,,"6","5",124.91682699811,579.953237975582
"I109","James Robert Bruc (Ogilvy)","","M",1964,,"6","5",130.559689368556,441.717384713111
"I110","Marina Victoria Alexandr (Ogilvy)","","F",1966,,"6","5",109.496571729133,427.298405020177
"I111","Katharine  (Worsley)","Duchess of Kent","F",1933,,"6","5",131.674180745161,559.216991564847
"I112","George Philip of St. Andrew (Windsor)","Earl","M",1962,,"6","5",128.501396288476,452.922306748064
"I113","Helen Marina Luc (Windsor)","Lady","F",1964,,"6","5",109.320657809787,444.87151832272
"I114","Nicholas Charles Edwar (Windsor)","Lord","M",1970,,"6","5",119.848186749141,419.686733507251
"I115","William Arthur Phili (Windsor)","Prince","M",1982,,"6","2",14.9765644025823,350.903558531122
"I116","Henry Charles Alber (Windsor)","Prince","M",1984,,"6","2",31.7442829549766,352.402192682078
"I117","(Frederick) Christian Charles","Prince","M",1831,1917,"5.5","6",-73.5561948978478,922.505036405272
"I118","Marie Louise","Princess","F",1872,1956,"5.5","6",-76.6003045137799,827.786468886099
"I119","Aribert of Anhalt","","M",1864,1933,"5.5","7",-45.8530496224358,854.373807467885
"I120","Louise Margaret of Prussia","Duchess","F",1860,1917,"5.5","3",-70.9656059835492,859.342495557929
"I121","Margaret of Sweden","Crown Princess","F",1882,1920,"5.5","2",-44.8994449994523,769.314416496844
"I122","Arthur of Connaught","Duke","M",1883,1938,"5.5","4",-70.5859968779082,792.572946334294
"I123","Patricia ","Lady Ramsay","F",1886,1974,"5.5","4",-73.8596789083713,767.472513793436
"I124","Gustav VI Adolf","King of Sweden","M",1882,1973,"5.5","2",-31.1792319560297,768.166013118474
"I125","Alexandra ","Duchess of Fife","F",1891,1959,"5.5","5",-88.8436203015038,759.588283874961
"I126","Alexander  (Ramsay)","Admiral Sir","M",1881,1972,"5.5","5",-75.7234149225191,781.004156067728
"I127","Isabella of France","","F",1292,1358,"6","21",158.356433433125,1471.14480892611
"I129","Charles Edward","Duke","M",1884,1954,"5.5","6",13.2497084565634,786.385842560749
"I130","George III  (Hanover)","King of England","M",1738,1820,"6","5",33.3381452455859,1097.83274460901
"I131","(Sophia) Charlotte","","F",1744,1818,"6","5",56.2966633477036,1088.48338777421
"I132","Adolphus of Cambridge (Hanover)","Duke","M",1774,1850,"6","4",49.4782833761805,1036.81291228781
"I133","Edward Augustus (Hanover)","Duke of Kent","M",1767,1820,"5.5","5",-8.91020015545087,1049.17037805034
"I134","Augusta of Hesse-Cassel","Princess","F",1797,1889,"6","4",26.8935280119724,1002.42449838373
"I135","Augusta Caroline","","F",1822,1916,"6","5",97.2554165674471,955.841094106005
"I136","Mary Adelaide ""Fat Mary""","","F",1833,1897,"6","3",62.9151198093061,926.222023387396
"I137","Francis ","Duke of Teck","M",1837,1900,"6","3",105.271758289407,913.450536767027
"I138","Victoria Mary Louisa","","F",1786,1861,"5.5","5",-94.2739206890928,1030.1890794168
"I139","Ernest I of Saxe-Coburg- Saalfeld","Duke","M",1784,1844,"5.5","5",-83.2974033891865,1027.82980062313
"I140","Louise of Saxe-Coburg- Altenburg","","F",1800,1831,"5.5","5",-18.7150275460359,994.767258844104
"I141","George IV  (Hanover)","King of England","M",1762,1830,"6","6",-37.8866805962408,1065.26613600236
"I142","Maria Anne (Fitzherbert)","","F",1756,1837,"6","7",-34.4987977005657,1082.26209318191
"I143","Caroline Amelia of Brunswick","","F",1768,1821,"3.66666666666667","7",-135.329573905858,1057.05783728831
"I144","Charlotte Augusta (Hanover)","Princess","F",1796,1817,"2.5","6",-221.677803171162,1008.61739342246
"I145","Claude George (Bowes-Lyon)","Earl of Strath.","M",1855,1944,"6","2",142.571739518277,867.804058584103
"I146","Cecilia Nina (Cavendish-Bentin)","Countess of S.","F",1862,1938,"6","2",129.915165448827,850.836608304703
"I147","Margarita  (Mountbatten)","","F",1905,1981,"6","3",81.3236526752457,692.214793067865
"I148","Theodora  (Mountbatten)","","F",1906,1960,"6","3",65.2056730938503,689.803072560512
"I149","Vladimir  (Romanov)","Grand Duke","M",1847,1909,"6","6",30.3111195420665,893.908648186199
"I150","Alexis  (Romanov)","Grand Duke","M",1850,1908,"6","7",-1.71648850425321,899.97473003509
"I151","Serge Alexandrovich (Romanov)","Grand Duke","M",1857,1905,"6","6",57.1564455878477,880.740407671778
"I152","Paul Alexandrovich (Romanov)","Grand Duke","M",1860,1919,"6","5",10.3885229921321,858.385222518906
"I153","George Alexandrovich (Romanov)","Grand Duke","M",1871,1899,"5","6",-121.420274499953,833.092783471449
"I154","Xenia  (Romanov)","Grand Duchess","F",1875,1960,"5","6",-98.5050703101154,808.042335331131
"I155","Michael ""Mischa"" Alexandrovic (Romanov)","Grand Duke","M",1878,1918,"5","6",-67.4590759842016,801.474077261751
"I156","Olga Alexandrovna (Romanov)","Grand Duchess","F",1882,1960,"5","6",-115.460299513997,791.475490287108
"I157","Marie  (Pavlovna)","Grand Duchess","F",1854,1920,"6","6",23.2865980283831,871.934144650844
"I158","Cyril Vladimirovitch (Romanov)","Grand Duke","M",1876,1938,"5.5","7",48.2472740140551,790.981786555337
"I159","Boris  (Romanov)","Grand Duke","M",1877,1943,"6","7",50.4800486913701,804.656304515459
"I160","Andrei (Andrew) Vladimirovic (Romanov)","Grand Duke","M",1879,1956,"6","7",-0.744108769806072,804.86605435484
"I161","Mathilde (Maria) (Krzesinska)","","F",1872,1971,"6","8",-57.6969099058024,815.956473820217
"I162","Frederick William III","King of Prussia","M",1770,1840,"6.4","6",107.91384556109,1048.71144720499
"I163","Alexandra of Greece","Princess","F",1870,1891,"6","4",34.3630160216654,831.507988969497
"I164","Dmitri Pavlovich (Romanov)","Grand Duke","M",1891,1941,"6","5",-7.92134403404342,753.117012532865
"I165","Nicholas  (Romanov)","","M",1850,1918,"6","5",160.369795709589,895.332564448947
"I166","Irina ","","F",1895,,"5","7",-102.947225472982,746.652005203914
"I167","Felix  (Yussoupov)","","M",1887,,"5","8",-142.595310387508,765.744684963821
"I168","Sarah Margaret (Ferguson)","Duchess of York","F",1959,,"6","2",81.9216619770325,457.808215135829
"I169","Ronald Ivor (Ferguson)","Major","M",1931,,"6","3",65.1123595065928,561.485770199574
"I170","Susan Mary (Wright)","","F",1937,,"6","3",103.260911000732,551.703361970599
"I171","Teackle Wallis (Warfield)","","M",1871,,"6","5",21.4425916641101,816.806540191901
"I172","Alice  (Montague)","","F",1871,,"6","5",67.5307536578731,814.734295621306
"I173","Violet Hyacinth (Bowes-Lyon)","","F",1882,1893,"6","3",132.277764355022,793.604366183357
"I174","Mary Frances (Bowes-Lyon)","","F",1883,1961,"6","3",155.845256067526,792.722464415042
"I175","Patrick  (Bowes-Lyon)","","M",1884,1949,"6","3",124.45404868552,790.835583148346
"I176","John Herbert (Bowes-Lyon)","","M",1886,1930,"6","3",170.153188043349,775.795513302752
